indice_tiempo,total,por_categoria_deuda_comercial,anticipos_prefinanciacion_bienes,deuda_por_importacion_bienes,deuda_comercial_servicios,deuda_comercial_lineas_credito,por_categoria_deuda_financiera,deuda_financiera_prestamos_financieros,prestamos_financieros_titulos_deuda,deuda_financiera_por_utilidades_dividendos,deuda_financiera_linea_credito_financiera,deuda_financiera_otras_deudas,por_acreedor_clientes_del_exterior,por_acreedor_proveedores_del_exterior,por_acreedor_empresas_del_mismo_grupo,por_acreedor_entidades_financieras_internacionales,por_acreedor_multiples_tenedores_titulos,por_acreedor_organismos_internacionales_agencias_oficiales,por_acreedor_otros,en_porcentaje_del_pib,en_porcentaje_rrii,en_porcentaje_las_exportaciones
2009-10-01,51379.46368082606,21597.09623746,4664.6433814,13550.9112754,3158.804359279998,222.73722138,29782.367443366104,18266.926948520002,8566.206407966101,1194.7850840400001,504.17529867,1250.27370417,1549.965005569999,8725.70281997,19150.85213728004,9100.135671389999,8027.4693008161,3535.61319439,1289.7255514100007,0.15371051751480852,1.071131243026871,0.7745382503130641
2010-01-01,51544.38974782622,22622.870046,5171.49993386,14066.72480535,3158.0396923000003,226.60561449000002,28921.519701826095,18216.597617359996,8377.3691346761,805.1687226300002,449.13069351999997,1073.25353364,1568.5561890899994,8983.886604389982,19380.020600100022,8949.195547419997,7851.398875486099,3483.6740192599996,1327.6579120800004,0.14804056073094865,1.0860616314482632,0.759417657096489
2010-04-01,54399.825554701965,25628.44197477,6086.10772869,16088.52081977,3201.7690544000016,252.04437191,28771.383579932004,17826.26122816,8540.513758012,1038.64955781,440.15065575,925.8083801999999,1596.8269958600008,10228.830812719973,20228.97303693002,9404.559977000006,8032.021352962,3545.7589580699996,1362.854421160001,0.14610697641348158,1.1047829188792648,0.754151769987522
2010-07-01,55683.555068194044,27231.930028329996,5849.24220393,17673.328438459997,3362.197880559999,347.16150538,28451.625039863804,17730.066949280004,8407.7001332238,882.61542306,457.81060018,973.43193412,1672.6180520799976,10867.987196789982,20895.05467292002,9499.724665719998,7896.424915313801,3491.22751983,1360.5180455400016,0.1398713732246728,1.0891628683467098,0.7164816737473443
2010-10-01,55963.767561771194,28132.147353289998,5848.1621760200005,18309.40019679,3552.4635849299993,422.12139555,27831.6202084812,17714.33365004,8050.3131819912,637.57622401,441.76838949,987.628762949999,1606.9014377400003,10827.30612893998,21359.766999269967,9910.94438623,7586.533267761199,3373.4648223599997,1298.850519470001,0.13187898114439103,1.072311743351494,0.6898630015555702
2011-01-01,58756.48373496647,30400.433834569998,6224.68930242,20153.42716702,3535.53744326,486.77992187,28356.049900396294,17708.683190099997,8354.6364950763,822.6678084199999,448.94027482999996,1021.1221319699989,1639.1388740899984,11852.763757129947,22320.571906099987,10217.619037919998,7865.7285355463,3540.83575267,1319.8258715099983,0.1306767534297576,1.1453876753383645,0.6903937877282978
2011-04-01,63172.381763346995,34196.37401864,6928.556200589999,22780.41285431,3833.45921609,653.9457476499999,28976.007744707,17032.903855369997,8503.7819033314,1782.7394160755998,443.28568479,1213.2968851399999,1955.8884130899983,14191.400207840046,23235.56684939558,10924.130979319998,8013.5200409414,3349.6719257399996,1502.2033470199997,0.13199454717034498,1.2220194693673938,0.7083620718993531
2011-07-01,63711.42530708821,34945.7333468,6242.6344461300005,23868.552855,4087.110671139999,747.4353745300001,28765.691960288295,17003.822125349998,8383.6075843083,1221.5304791800002,467.58497989999995,1689.14679155,1884.4673280599998,14616.19698215994,23226.51923901003,11375.422010619995,7849.6514296583,3251.0184396100008,1508.1498779700012,0.1261680177794808,1.3112168041745151,0.6763461921740623
2011-10-01,63668.11297506899,35788.069125769995,5841.7371016,24423.69832804,4572.69034293,949.9433531999999,27880.0438492988,16261.024310929999,8167.2336119987995,1427.07655223,452.21367767000004,1572.49569647,1963.5434882999982,15024.151469299957,23925.572863769965,10663.636209790006,7742.2271301887995,2988.47517414,1360.5066395800002,0.12078089968171826,1.3728699983196664,0.6522256879992224
2012-01-01,64837.73158073668,36948.6972062801,6462.93324789,24570.4703098701,5033.06137261,882.23227591,27889.034374456696,16601.10262401,8040.9594367975,1756.0145832591998,446.16362033999997,1044.79411005,1935.1069183099994,15306.392099620025,25079.53968179925,10711.723495840002,7616.2832042175,2862.72905801,1325.957122939999,0.11906475686520497,1.3710455731896618,0.6557109631645078
